Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
   0.00  -9999.    268.37 8.50e+01      0.00      0.00         53.0   1023.19    266.24 2.22e+00       0.00      0.00  -9999.  -9999.  -9999.   -76.8755    39.0563  -9999.  -9999.  -9999.
   1.45  -9999.    268.70 8.39e+01      0.53      1.05         57.7   1022.58    266.39 2.25e+00     243.18      1.17  -9999.  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   2.45  -9999.    269.12 8.29e+01      0.71      1.31         60.9   1022.16    266.65 2.29e+00     241.59      1.49  -9999.  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   3.45  -9999.    269.77 8.12e+01      0.84      1.43         65.4   1021.58    267.02 2.36e+00     239.71      1.66  -9999.  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   4.45  -9999.    270.51 7.90e+01      0.95      1.50         71.4   1020.81    267.38 2.43e+00     237.65      1.78  -9999.  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   5.45  -9999.    271.12 7.69e+01      1.07      1.56         78.0   1019.96    267.61 2.48e+00     235.60      1.89  -9999.  -9999.  -9999.   -76.8756    39.0564  -9999.  -9999.  -9999.
   6.45  -9999.    271.60 7.50e+01      1.20      1.62         84.7   1019.09    267.76 2.51e+00     233.63      2.02  -9999.  -9999.  -9999.   -76.8756    39.0563  -9999.  -9999.  -9999.
   7.45  -9999.    272.02 7.33e+01      1.33      1.69         91.5   1018.22    267.85 2.53e+00     231.82      2.16  -9999.  -9999.  -9999.   -76.8756    39.0563  -9999.  -9999.  -9999.
   8.45  -9999.    272.35 7.15e+01      1.47      1.76         98.1   1017.39    267.85 2.53e+00     230.07      2.29  -9999.  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
   9.45  -9999.    272.60 6.98e+01      1.61      1.82        104.1   1016.63    267.77 2.51e+00     228.37      2.43  -9999.  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
  10.45  -9999.    272.79 6.82e+01      1.76      1.87        109.8   1015.90    267.64 2.49e+00     226.71      2.56  -9999.  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
  11.45  -9999.    272.92 6.67e+01      1.90      1.91        115.4   1015.18    267.49 2.46e+00     225.08      2.69  -9999.  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  12.45  -9999.    273.01 6.56e+01      2.05      1.94        121.1   1014.47    267.36 2.44e+00     223.48      2.82  -9999.  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  13.45  -9999.    273.07 6.49e+01      2.19      1.96        127.0   1013.72    267.26 2.43e+00     221.92      2.94  -9999.  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  14.45  -9999.    273.13 6.44e+01      2.33      1.98        133.3   1012.92    267.23 2.42e+00     220.39      3.06  -9999.  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  15.45  -9999.    273.20 6.41e+01      2.46      1.99        139.9   1012.08    267.23 2.42e+00     218.92      3.16  -9999.  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  16.45  -9999.    273.28 6.38e+01      2.59      1.99        146.3   1011.28    267.24 2.43e+00     217.50      3.26  -9999.  -9999.  -9999.   -76.8753    39.0566  -9999.  -9999.  -9999.
  17.45  -9999.    273.35 6.31e+01      2.71      1.98        152.1   1010.54    267.17 2.42e+00     216.13      3.35  -9999.  -9999.  -9999.   -76.8753    39.0566  -9999.  -9999.  -9999.
  18.45  -9999.    273.40 6.21e+01      2.82      1.96        157.6   1009.85    267.00 2.39e+00     214.80      3.44  -9999.  -9999.  -9999.   -76.8753    39.0566  -9999.  -9999.  -9999.
  19.45  -9999.    273.44 6.05e+01      2.93      1.94        163.0   1009.17    266.69 2.33e+00     213.49      3.51  -9999.  -9999.  -9999.   -76.8752    39.0567  -9999.  -9999.  -9999.
  20.45  -9999.    273.48 5.83e+01      3.03      1.91        168.5   1008.48    266.26 2.26e+00     212.22      3.58  -9999.  -9999.  -9999.   -76.8752    39.0567  -9999.  -9999.  -9999.
  21.45  -9999.    273.53 5.59e+01      3.12      1.88        174.3   1007.74    265.75 2.17e+00     210.99      3.64  -9999.  -9999.  -9999.   -76.8751    39.0568  -9999.  -9999.  -9999.
  22.45  -9999.    273.59 5.35e+01      3.21      1.84        180.5   1006.97    265.24 2.09e+00     209.80      3.69  -9999.  -9999.  -9999.   -76.8751    39.0568  -9999.  -9999.  -9999.
  23.45  -9999.    273.65 5.13e+01      3.28      1.79        186.8   1006.18    264.77 2.02e+00     208.64      3.74  -9999.  -9999.  -9999.   -76.8751    39.0568  -9999.  -9999.  -9999.
  24.45  -9999.    273.71 4.97e+01      3.35      1.75        193.3   1005.37    264.41 1.96e+00     207.53      3.77  -9999.  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  25.45  -9999.    273.78 4.85e+01      3.40      1.70        199.8   1004.55    264.16 1.92e+00     206.47      3.80  -9999.  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  26.45  -9999.    273.83 4.77e+01      3.45      1.64        206.3   1003.73    264.00 1.90e+00     205.45      3.82  -9999.  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  27.45  -9999.    273.86 4.72e+01      3.49      1.59        212.7   1002.94    263.90 1.89e+00     204.47      3.84  -9999.  -9999.  -9999.   -76.8751    39.0569  -9999.  -9999.  -9999.
  28.45  -9999.    273.88 4.69e+01      3.52      1.53        218.9   1002.16    263.84 1.88e+00     203.53      3.84  -9999.  -9999.  -9999.   -76.8751    39.0570  -9999.  -9999.  -9999.
  29.45  -9999.    273.90 4.66e+01      3.55      1.48        225.1   1001.39    263.76 1.87e+00     202.63      3.84  -9999.  -9999.  -9999.   -76.8751    39.0570  -9999.  -9999.  -9999.
  30.45  -9999.    273.91 4.60e+01      3.57      1.42        231.1   1000.64    263.61 1.85e+00     201.77      3.84  -9999.  -9999.  -9999.   -76.8750    39.0570  -9999.  -9999.  -9999.
  31.45  -9999.    273.91 4.53e+01      3.58      1.37        237.2    999.88    263.42 1.82e+00     200.95      3.83  -9999.  -9999.  -9999.   -76.8750    39.0571  -9999.  -9999.  -9999.
  32.45  -9999.    273.90 4.49e+01      3.59      1.32        243.4    999.10    263.29 1.81e+00     200.17      3.82  -9999.  -9999.  -9999.   -76.8750    39.0571  -9999.  -9999.  -9999.
  33.45  -9999.    273.89 4.49e+01      3.59      1.26        249.7    998.32    263.29 1.81e+00     199.40      3.80  -9999.  -9999.  -9999.   -76.8749    39.0572  -9999.  -9999.  -9999.
  34.45  -9999.    273.86 4.53e+01      3.58      1.21        255.8    997.57    263.37 1.82e+00     198.66      3.78  -9999.  -9999.  -9999.   -76.8749    39.0572  -9999.  -9999.  -9999.
  35.45  -9999.    273.83 4.57e+01      3.58      1.16        261.8    996.82    263.46 1.84e+00     197.94      3.76  -9999.  -9999.  -9999.   -76.8749    39.0572  -9999.  -9999.  -9999.
  36.45  -9999.    273.79 4.62e+01      3.57      1.11        268.0    996.05    263.55 1.85e+00     197.24      3.73  -9999.  -9999.  -9999.   -76.8749    39.0573  -9999.  -9999.  -9999.
  37.45  -9999.    273.73 4.66e+01      3.55      1.06        274.3    995.26    263.62 1.86e+00     196.58      3.71  -9999.  -9999.  -9999.   -76.8750    39.0573  -9999.  -9999.  -9999.
  38.45  -9999.    273.67 4.70e+01      3.53      1.01        280.6    994.49    263.65 1.87e+00     195.93      3.67  -9999.  -9999.  -9999.   -76.8750    39.0573  -9999.  -9999.  -9999.
  39.45  -9999.    273.62 4.71e+01      3.51      0.96        286.5    993.75    263.64 1.87e+00     195.31      3.64  -9999.  -9999.  -9999.   -76.8749    39.0574  -9999.  -9999.  -9999.
  40.45  -9999.    273.57 4.71e+01      3.48      0.91        292.1    993.07    263.59 1.86e+00     194.69      3.60  -9999.  -9999.  -9999.   -76.8749    39.0574  -9999.  -9999.  -9999.
