Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
   0.00  -9999.    268.37    85.00      0.00      0.00         52.3   1023.19    266.24     2.22       0.00      0.00 1  -9999.  -9999.   -76.8755    39.0563  -9999.  -9999.  -9999.
   0.81  -9999.    268.46    83.38      0.46      0.86         54.5   1022.90    266.08     2.19     241.86      0.98 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   1.81  -9999.    268.74    81.17      0.73      1.29         59.8   1022.22    266.00     2.18     240.50      1.48 1  -9999.  -9999.   -76.8757    39.0564  -9999.  -9999.  -9999.
   2.81  -9999.    269.39    77.76      0.90      1.50         65.8   1021.44    266.08     2.20     239.06      1.75 1  -9999.  -9999.   -76.8757    39.0563  -9999.  -9999.  -9999.
   3.81  -9999.    270.30    73.57      1.02      1.60         72.1   1020.61    266.24     2.23     237.38      1.90 1  -9999.  -9999.   -76.8757    39.0563  -9999.  -9999.  -9999.
   4.81  -9999.    270.86    70.00      1.14      1.66         78.1   1019.85    266.14     2.21     235.59      2.02 1  -9999.  -9999.   -76.8757    39.0563  -9999.  -9999.  -9999.
   5.81  -9999.    271.23    67.49      1.26      1.72         85.1   1018.95    266.02     2.19     233.82      2.14 1  -9999.  -9999.   -76.8756    39.0563  -9999.  -9999.  -9999.
   6.81  -9999.    271.70    65.76      1.39      1.79         92.4   1018.09    266.13     2.21     232.15      2.27 1  -9999.  -9999.   -76.8756    39.0563  -9999.  -9999.  -9999.
   7.81  -9999.    272.10    64.18      1.53      1.86         98.9   1017.29    266.19     2.23     230.56      2.41 1  -9999.  -9999.   -76.8756    39.0563  -9999.  -9999.  -9999.
   8.81  -9999.    272.37    62.60      1.67      1.92        105.6   1016.49    266.13     2.22     229.00      2.54 1  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
   9.81  -9999.    272.62    61.36      1.81      1.97        111.1   1015.70    266.11     2.22     227.47      2.68 1  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
  10.81  -9999.    272.81    60.62      1.95      2.02        117.2   1014.93    266.13     2.22     225.95      2.80 1  -9999.  -9999.   -76.8755    39.0564  -9999.  -9999.  -9999.
  11.81  -9999.    272.90    60.32      2.09      2.05        122.7   1014.17    266.15     2.23     224.44      2.93 1  -9999.  -9999.   -76.8755    39.0565  -9999.  -9999.  -9999.
  12.81  -9999.    272.96    60.30      2.23      2.07        127.4   1013.40    266.21     2.24     222.95      3.04 1  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  13.81  -9999.    273.01    60.49      2.36      2.09        134.3   1012.64    266.29     2.25     221.48      3.15 1  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  14.81  -9999.    273.05    60.89      2.49      2.09        140.2   1011.86    266.42     2.28     220.03      3.26 1  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
  15.81  -9999.    273.13    61.17      2.62      2.09        147.1   1011.09    266.55     2.30     218.62      3.35 1  -9999.  -9999.   -76.8754    39.0565  -9999.  -9999.  -9999.
